year_DateTime1,month_DateTime1,day_DateTime1,sum_Adoption,sum_Died,sum_Euthanasia,sum_Return_to_owner,sum_Transfer
2013,10,1,7,1,6,7,13
2013,10,2,11,1,2,7,22
2013,10,3,6,0,1,5,8
2013,10,4,7,0,2,2,1
2013,10,5,24,0,1,6,15
2013,10,6,18,1,1,7,10
2013,10,7,11,0,1,4,5
2013,10,8,8,0,2,8,1
2013,10,9,10,0,2,2,16
2013,10,10,13,2,4,4,34
2013,10,11,9,0,2,4,15
2013,10,12,21,0,1,9,12
2013,10,13,39,0,2,1,8
2013,10,14,11,0,4,6,22
2013,10,15,6,0,5,8,22
2013,10,16,10,0,0,4,20
2013,10,17,9,0,1,6,6
2013,10,18,7,0,3,9,6
2013,10,19,17,0,1,2,9
2013,10,20,11,1,2,6,25
2013,10,21,9,0,2,4,10
2013,10,22,9,2,4,4,2
2013,10,23,6,0,0,5,14
2013,10,24,11,0,5,4,14
2013,10,25,5,2,3,3,11
2013,10,26,15,0,1,3,10
2013,10,27,14,1,2,3,11
2013,10,28,6,1,6,5,14
2013,10,29,11,0,2,2,13
2013,10,30,8,0,4,3,11
2013,10,31,10,0,1,6,1
2013,11,1,17,0,2,7,5
2013,11,2,18,0,0,5,9
2013,11,3,27,0,1,1,5
2013,11,4,12,0,2,6,21
2013,11,5,4,0,1,5,6
2013,11,6,7,1,1,5,7
2013,11,7,7,0,0,4,8
2013,11,8,3,0,2,6,19
2013,11,9,23,1,1,5,8
2013,11,10,22,0,3,5,5
2013,11,11,13,0,2,6,10
2013,11,12,4,0,2,6,8
2013,11,13,13,0,2,4,6
2013,11,14,8,0,1,4,3
2013,11,15,7,0,4,3,23
2013,11,16,17,0,2,8,9
2013,11,17,13,0,0,7,10
2013,11,18,5,0,0,1,6
2013,11,19,8,0,0,9,5
2013,11,20,4,0,3,5,8
2013,11,21,7,0,4,2,8
2013,11,22,10,0,1,4,13
2013,11,23,14,0,2,6,9
2013,11,24,18,0,1,3,4
2013,11,25,14,1,0,5,7
2013,11,26,5,0,5,5,14
2013,11,27,8,0,2,7,8
2013,11,28,2,0,2,2,4
2013,11,29,6,0,3,6,10
2013,11,30,26,0,0,2,7
2013,12,1,24,0,0,5,7
2013,12,2,9,0,4,9,5
2013,12,3,6,0,1,2,10
2013,12,4,11,0,2,5,13
2013,12,5,9,0,6,2,7
2013,12,6,6,0,5,2,20
2013,12,7,24,0,0,2,1
2013,12,8,12,0,2,2,14
2013,12,9,13,0,0,5,17
2013,12,10,12,0,2,3,6
2013,12,11,7,0,4,9,7
2013,12,12,10,1,3,3,10
